Pc,Delta,RMSE,Iteration
0.660552,0.082924,0.0645762,1
0.675316,0.0856618,0.063173,2
0.730264,0.18082,0.0539062,3
0.697422,0.204214,0.0618205,4
0.713486,0.14115,0.0566754,5
0.697241,0.234051,0.04599,6
0.717861,0.103269,0.0560963,7
0.649691,0.107207,0.062218,8
0.689303,0.176038,0.0475357,9
0.677758,0.135311,0.0533364,10
0.678999,0.124971,0.0704648,11
0.667299,0.121859,0.059898,12
0.697809,0.121936,0.0558989,13
0.670086,0.126326,0.0464201,14
0.735522,0.16135,0.0395682,15
0.651495,0.178185,0.0585068,16
0.687296,0.136764,0.0616866,17
0.69059,0.183089,0.0697983,18
0.668712,0.132357,0.063268,19
0.683606,0.156058,0.0636405,20
0.665383,0.139305,0.074722,21
0.711393,0.141927,0.0516507,22
0.670581,0.180247,0.0704224,23
0.60621,0.104236,0.0789125,24
0.704569,0.0865419,0.0631606,25
0.66326,0.0834754,0.046856,26
0.689768,0.219718,0.0483475,27
0.706275,0.149217,0.0573221,28
0.657611,0.116646,0.0492368,29
0.668877,0.102456,0.0575191,30
0.657729,0.139215,0.068495,31
0.69446,0.172786,0.0491569,32
0.642844,0.130912,0.0702173,33
0.649085,0.0980784,0.0807396,34
0.658017,0.244654,0.0727353,35
0.683776,0.165683,0.045425,36
0.665146,0.171585,0.0422137,37
0.715231,0.11379,0.0580083,38
0.655693,0.156004,0.0788037,39
0.682382,0.142681,0.0617803,40
0.692414,0.190874,0.0589936,41
0.653466,0.147029,0.0492295,42
0.64078,0.118985,0.0470899,43
0.682231,0.137403,0.0491003,44
0.66155,0.157318,0.0618125,45
0.644886,0.0769233,0.0713347,46
0.650933,0.0950547,0.0846843,47
0.695616,0.124999,0.0448734,48
0.62643,0.101853,0.0676411,49
0.673752,0.116905,0.0653724,50
0.707649,0.211008,0.0542154,51
0.660726,0.115411,0.0511705,52
0.669496,0.169413,0.0633699,53
0.688248,0.158031,0.073047,54
0.684759,0.106365,0.0536438,55
0.655605,0.155916,0.051382,56
0.679905,0.19279,0.0631352,57
0.672966,0.140568,0.0520833,58
0.677038,0.122806,0.056631,59
0.692883,0.128882,0.0542304,60
0.673293,0.134686,0.0705851,61
0.62878,0.0946976,0.0670032,62
0.70102,0.170309,0.0456374,63
0.696299,0.161634,0.0542837,64
0.662849,0.136339,0.0504621,65
0.656582,0.146251,0.0650948,66
0.691509,0.166726,0.0662624,67
0.632703,0.0833858,0.0442883,68
0.663432,0.14777,0.0537828,69
0.700205,0.156749,0.0468635,70
0.679042,0.0989441,0.0596463,71
0.679128,0.139539,0.064742,72
0.645414,0.201904,0.0559851,73
0.63717,0.139132,0.067626,74
0.671853,0.155484,0.0721337,75
0.67143,0.119134,0.0607076,76
0.713975,0.156723,0.0614801,77
0.694996,0.13793,0.0672706,78
0.675515,0.140151,0.0603553,79
0.693289,0.107839,0.0561998,80
0.658283,0.124962,0.0631025,81
0.679517,0.150241,0.0563861,82
0.651347,0.155922,0.0678561,83
0.718436,0.155341,0.0766599,84
0.691847,0.155277,0.0617152,85
0.649502,0.131157,0.0541787,86
0.704835,0.160305,0.0627941,87
0.680347,0.10994,0.0599048,88
0.702368,0.17483,0.0641571,89
0.689983,0.128655,0.0562326,90
0.68833,0.164312,0.0737892,91
0.665163,0.145246,0.075627,92
0.714348,0.182241,0.0333393,93
0.64237,0.19938,0.0854735,94
0.668657,0.118999,0.0594092,95
0.719189,0.110061,0.0601015,96
0.737809,0.131269,0.0521443,97
0.63469,0.116539,0.0802229,98
0.671387,0.117046,0.0561316,99
0.700012,0.180763,0.0642379,100